C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,804,250,2000,270.6333333333333,1206,1187,40.0,16.14,791.4,758,16.0,640,385,515,33.0,175.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,798,250,2000,281.9333333333333,1203,1155,50.0,20.26,795.59,759,20.0,640,370,520,31.5,176.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,802,250,2000,257.0166666666667,1187,1186,40.0,16.29,781.46,756,16.0,640,385,540,32.5,116.66666666666667
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,823,250,2000,259.9166666666667,1185,1198,40.0,16.34,818.98,757,16.0,640,400,540,30.0,164.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,824,250,1800,269.15,1187,1182,40.0,16.28,817.96,757,16.0,640,385,525,28.5,193.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,825,250,1800,271.4,1217,1186,40.0,16.34,801.71,755,16.0,640,360,515,32.0,157.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,822,250,1800,267.4,1217,1201,40.0,16.35,795.36,756,16.0,640,375,510,30.0,152.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,829,250,1800,251.4333333333333,1218,1180,40.0,16.17,813.79,756,16.0,640,360,510,32.0,147.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,810,250,2000,256.35,1218,1199,50.0,20.35,768.37,759,20.0,640,370,515,27.0,152.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,814,250,2000,230.7166666666667,1195,1204,50.0,20.13,789.42,759,20.0,640,405,530,33.0,225.66666666666666
